"","Operator","Type","NumberOfCrashes"
"1694","Express Airlines - Northwest Airlink","British Aerospace Jetstream BA-3100",1
"1695","Expresso Aéreo","Fokker F-27 Friendship 500",1
"1696","Expresso Aéreo","Yakovlev YAK-40",1
"1697","F.R. de la Direccion General de Ados","Douglas C-47A-35-DL",1
"1698","Fairbanks Air - Air Taxi","Cessna U206C",1
"1699","Fairbanks Air Service - Taxi","Cessna 180E",1
"1700","Fairflight Ltd.","Avro 689 Tudor 5",1
"1701","Fairways","Douglas DC-3",1
"1702","Falcon Airways - Air Taxi","Beechcraft  C-45H",1
"1703","Falcon Aviation Group","Antonov An-12",1
"1704","FAMA (Argentina)","Avro  685 York I",1
"1705","Far Aviation - Air Taxi / Speeds Flying - Air Taxi","Cessna 402 / Piper PA-28",1
"1706","Far East Aviation","Tupolev TU-154B",1
"1707","Far Eastern Air Transport","Bell 212",1
"1708","Far Eastern Air Transport","Boeing B-737-222",1
"1709","Far Eastern Air Transport","Douglas DC-3 (C-47-B-1-DK)",1
"1710","Far Eastern Air Transport","Douglas DC-4 (C-54A-DO)",1
"1711","Far Eastern Air Transport","Handley Page Dart Herald 201",1
"1712","Far Eastern Air Transport","Vickers 837 Viscount",1
"1713","Faraz Qeshm Airlines","Yakovlev YAK-40",1
"1714","Farnair Hungary","Let 410UVP-E4",1
"1715","Faucett","Boeing B-727-247",1
"1716","Faucett","Douglas C-54A-1-DO",1
"1717","Faucett","Douglas C54A",1
"1718","Faucett","Douglas DC-3",4
"1719","Faucett","Douglas DC-4",1
"1720","Faucett","Douglas DC-C-54A",1
"1721","Faucett","Faucett F-19",1
"1722","Federal Airlines","Antonov AN-24",1
"1723","Federal Express","Cessna 208A Caravan I Cargomaster",2
"1724","FedEx","Cessna 208B Caravan I Super Cargomaster",1
"1725","FedEx","McDonnell Douglas MD-11",1
"1726","Festus Flying Service - Air Taxi","Beechcraft G18S",1
"1727","Fiji Air","Britten-Norman BN-2A-6 Islander",1
"1728","Fiji Air Services","Britten Norman BN-2A Trislander",1
"1729","Filipinas Orient Airways","Douglas DC-3A",1
"1730","Fine Air","McDonnell Douglas DC-8-61F",1
"1731","Finnair","Douglas DC-3",2
"1732","First Air","de Havilland Canada DHC-6 Twin Otter 300",1
"1733","Flamingo Airlines - Air Taxi","Aero Commander 680E",1
"1734","Flash Air","Boeing B-737-3Q8",1
"1735","Fleming Airways System Transport","Douglas DC-3",1
"1736","Fleming International Airways","Lockheed L-188AF Electra",1
"1737","Flight Safety Australia","Cessna 500 Citation I",1
"1738","Flight Service","Bell UH-1H",1
"1739","Flightline","Swearingen SA-226AT Merlin IV",1
"1740","Florida Commuter Airlines","Douglas DC-3",1
"1741","Flota Aérea Mercante Argentina","Avro 685 York I",1
"1742","Flota Aérea Mercante Argentina","Avro Lancaster",1
"1743","Flota Aérea Mercante Argentina","Douglas C-54A-1-DO",1
"1744","Flugefelag","Douglas DC-3",1
"1745","Flugfelag Austurlands","Britten-Norman BN-2A-27 Islander",1
"1746","Fly 540","Fokker F-27 Friendship 500",1
"1747","Flying Tiger Line","Boeing 747-249F",1
"1748","Flying Tiger Line","Canadair CL-44D4-1",1
"1749","Flying Tiger Line","Douglas C-54A",1
"1750","Flying Tiger Line","Douglas C-54B-10-DO",1
"1751","Flying Tiger Line","Lockheed 1049H-82 Super Constellation",1
"1752","Flying Tiger Line","Lockheed 1049H Super Constellation",3
"1753","Flying Tiger Line","Lockheed L-1049H Super Constellation",2
"1754","Flying Tiger Line","McDonnell Douglas DC-8-63AF",1
"1755","Flying W Airways","Curtiss C-46F",1
"1756","Flynn's Ferry Service","Cessna 208 Caravan I",1
"1757","Force Area Populaire de Angola","CASA 212 Aviocar 200",1
"1758","Ford Air Freight Inc.","Ford 4",1
"1759","Formosa Airlines","Cessna 404 Titan Courier II",1
"1760","Formosa Airlines","Dornier 228-201",1
"1761","Formosa Airlines","Dornier 228-212",1
"1762","Formosa Airlines","Dornier DO-228-212",1
"1763","Formosa Airlines","Saab340B",1
"1764","Fortaire Aviation - Air Taxi","Brantly 305",1
"1765","Foster Aviation","Piper PA-23-250",1
"1766","Fragtflug","Douglas DC-6A",1
"1767","Francisco Cruz","Beech D18AS",1
"1768","Franco-Roumaine","Potez IX",1
"1769","Fred Olsen Flyveselskap","Douglas C-47A",1
"1770","Freedom International","Learjet 23",1
"1771","Frigorifico Cooperativo Los Andes","Curtiss C-46D-15-CU",1
"1772","Frigorifico Maniqui","Douglas C-47",1
"1773","Frigorifico Reyes","Douglas C-54",1
"1774","Frigorifico Santa Rita","Curtiss C-46T",1
"1775","Frontier Air","Beechcraft C99",1
"1776","Frontier Airlines","Douglas C-47A",1
"1777","Frontier Airlines","Douglas DC-3C",1
"1778","Frontier Flying Service","Piper PA-31-325 Navajo",1
"1779","Frontier Flying Service - Air Taxi","Cessna 185",1
"1780","Frontier Flying Service - Air Taxi","Cessna 207",1
"1781","Fuerza Aérea Argentina","Douglas C-54",1
"1782","Fuerza Aérea Argentina","Fokker F-27 Friendship 400M",1
"1783","Fuerza Aérea Argentina","Vickers 615 Viking 1B",1
"1784","Fuerza Aérea Argentina","Vickers 620 Viking 1",1
"1785","Fuerza Aérea Colombiana","Douglas DC-6B",1
"1786","Fuerza Aérea del Peru","Antonov AN-32",1
"1787","Fuerza Aérea del Peru","Boeing B-737-282",1
"1788","Fuerza Aérea del Peru","Curtiss-Wright C-46",1
"1789","Fuerza Aérea del Peru","de Havilland Canada DHC-5 Buffalo",1
"1790","Fuerza Aérea del Peru","de Havilland Canada DHC-5D Buffalo",1
"1791","Fuerza Aérea del Peru","de Havilland Canada DHC-6 Twin Otter 300",1
"1792","Fuerza Aérea Nicaragua","Antonov AN-26",1
"1793","Fuerza Aérea Panamena","CASA 212 Aviocar 200",1
"1794","Fuerza Aérea Uruguaya","Embraer 110C Bandeirante",1
"1795","Fuerza Aérea Venezolana","Lockheed C-130H Hercules",1
"1796","Fuerza Area Angolaise","Antonov AN-26",1
"1797","Fuji Airlines","Convair CV-240-0",1
"1798","Fujita Koku Kabushki Kai","de Havilland DH-114 Heron",1
"1799","Fun Air","Beechcraft King Air C90B",1
"1800","G & W Aviation","Cessna 401",1
"1801","Gabon Express","BAe HS-748-232 Srs 2A",1
"1802","Gaige Aviation - Air Taxi","Piper PA-32R",1
"1803","Galaxy Airlines","Lockheed L-188A Electra",1
"1804","Galaxy Kavatsi Airlines","Antonov AN-12BP",1
"1805","Galena Air Service - Air Taxi","Cessna 180",1
"1806","Galena Air Service - Air Taxi","Piper PA-31",1
"1807","Galesburg Aviation - Air Taxi","Cessna 210L",1
"1808","Gambcrest","Convair CV- 640",1
"1809","Gander Aviation","Beech Queen Air A80",1
"1810","Garamut Aviation","de Havilland Canada C-7A Caribou",1
"1811","Garuda  Indonesia Airlines / Garuda Indonesia Airlines","Douglas DC-3 / Douglas DC-3",1
"1812","Garuda Indonesia Airlines","Airbus A300-B4-200",1
"1813","Garuda Indonesia Airlines","Boeing B-737-3Q8",1
"1814","Garuda Indonesia Airlines","Boeing B-737-497",1
"1815","Garuda Indonesia Airlines","Convair CV-990-30A-5",1
"1816","Garuda Indonesia Airlines","Douglas C-47A",1
"1817","Garuda Indonesia Airlines","Douglas DC-3",5
"1818","Garuda Indonesia Airlines","Fokker F-27 Friendship 600",1
"1819","Garuda Indonesia Airlines","Fokker F-28 Fellowship 1000",4
"1820","Garuda Indonesia Airlines","Fokker F-28 Fellowship 3000RC",1
"1821","Garuda Indonesia Airlines","Lockheed L-188C Electra",1
"1822","Garuda Indonesia Airlines","McDonnell Douglas DC-10-30",1
"1823","Garuda Indonesia Airlines","McDonnell Douglas DC-9-32",1
"1824","GAS Air","Boeing B-707-321C",1
"1825","Gastonia Aviation - Taxi","Beech D18S",1
"1826","Gay Airways - Air Taxi","Bell 206",1
"1827","Gay Airways - Air Taxi","Sud Aviation SA 318C",1
"1828","General Air","de Havilland Canada DHC-6 Twin Otter",1
"1829","General Airways","Douglas DC-3",1
"1830","General Airways","Stinson Reliant",1
"1831","General Aviation Inc.","Grumman G-159 Gulfstream I",1
"1832","Georgia Express","Cessna 208B Grand Caravan",1
"1833","Georgian Air","Tupolev TU-154B",1
"1834","Geoterrex","CASA 212 Aviocar 200",1
"1835","Ghana Airlink","Fokker F-27 Friendship 600",1
"1836","Ghana Airways","Douglas DC-3",1
"1837","Ginger Coote Airways","Fairchild 51",1
"1838","Gira Globo Charter","Beechcraft King Air B200",1
"1839","GLM Aviation","Lockheed L-188AF Electra",1
"1840","Global Executive Aviation","Learjet 60",1
"1841","Globe Air","Bristol Britannia 175",1
"1842","Glow Air/Air Castle - Charter","Canadair CL-601-2A12 Challenger",1
"1843","Gol Airlines / Private","Boeing B-737-8EH /EMB-135JB",1
"1844","Golden Star Air Cargo","Boeing 707-321C",1
"1845","Golden West Airlines / Private","de Hav Can. DHC-6 Tw Otter 100/ Cessna",1
"1846","Goose Bay Air Services","de Havilland Canada DHC-3 Otter",1
"1847","Gor'ky Eskadril'ya","Tupolev ANT-20 / I-5",1
"1848","Goroka Air Services","de Havilland Canada DHC-6 Twin Otter 300",1
"1849","Government of Mozambique","Tupolev TU-134A",1
"1850","GP Express Airlines","Beechcraft C99",2
"1851","Grand Aire","HBB HFB-320 Hansa Jet",1
"1852","Grand Canyon Air - Air Taxi","Piper PA-32-300",1
"1853","Grand Canyon Airlines","de Havilland Canada DHC-6 Twin Otter 300",1
"1854","Grand Canyon Airlines","Piper PA-32",1
"1855","Grand Canyon Airlines / Helitech","de Havilland Can. DHC-6 -300/ Bell 206B",1
"1856","Grands Express Aeriens","",1
"1857","Grands Express Aeriens","Breguet 14",7
"1858","Grands Express Aeriens","Farman F-60 Goliath",1
"1859","Grands Express Aeriens","Lioré-et-Olivier H-13",1
"1860","Great Lakes Business Complany","Antonov AN-32",1
"1861","Great Western and Southern Air Lines","de Havilland DH-84 Dragon",1
"1862","Greek Government","Dassault Falcon 900B",1
"1863","Green Acres - Air Taxi","Bellanca 17-30",1
"1864","Green River Aviation - Air Taxi","Cessna 185",1
"1865","Greenbriar Airways","Cessna 205",1
"1866","Greylock Airways / Private","de Havilland DH-104 / Piper PA-28",1
"1867","GT Air","de Havilland Canada DHC-6 Twin Otter 100",1
"1868","Guardia Nacional de Venezuela","PZL-MieleM28",1
"1869","Guernsey Airways","Saro Cloud",1
"1870","Guiena Airways","Junkers W-34",1
"1871","Guinea Airways","De Havilland DH-60",1
"1872","Guinea Airways","Lockheed 14 Electra",1
"1873","Guinea Airways","Stinson SR-7 Reliant",1
"1874","Guinea Airways Limited","Lockheed 14 Electra",1
"1875","Gulf Air","Airbus A320-212",1
"1876","Gulf Air","Boeing B-737-2P6",1
"1877","Gulf Aviation (Kalinga Airways)","Douglas DC-3",1
"1878","Gum Air Charter","GAF Nomad N24A",1
"1879","Guyana Airways","Douglas DC-6A",1
"1880","Haïti Air Inter","Britten Norman BN-2A Islander",1
"1881","Haïti Air Inter","Britten Norman BN Islander",1
"1882","Hageland Aviation Services","Cessna 208B Caravan I",2
"1883","Haines Airways - Air Taxi","Piper PA-32",1
"1884","Hallo Bay Air - Air Taxi","Cessna 180H",1
"1885","Halvorson - Air Taxi","Bell 47G3B1",1
"1886","Hamilton Aviation","Beechcraft E18S",1
"1887","Handley Page Transport","Handley Page HP-16",1
"1888","Handley Page Transport","Handley Page O/10",1
"1889","Hang Khong (Vietnam)","Tupolev TU-134A",1
"1890","Hankins Airways - Air Taxi","Beechcraft D 18S",1
"1891","Harbor Airlines - Air Taxi","Brittonorman BN-2A",1
"1892","Harbour Air","de Havilland Canada DHC-3 Turbo Otter",1
"1893","Harbour Air Seaplanes Ltd.","de Havilland Dash-2 Beaver",1
"1894","Hargreaves Airways","de Havilland DH-89A Dragon Rapide",1
"1895","Harka Air Services","Tupolev TU-134A",1
"1896","Harold's Air Service","Britten-Norman BN-2A-6 Islander",1
"1897","Harold E. Bell - Air Taxi","Beechcraft 95-55",1
"1898","Harrington's Inc","Douglas DC-3",1
"1899","Harry Faulkner - Air Taxi","Cessna 180H",1
"1900","Harvey's Flying Service - Air Taxi","Beechcraft D18S",1
"1901","Hati Express","GAF Nomad N-24A",1
"1902","Havasu City Air - Air Taxi","Cessna 210",1
"1903","Heavylift Cargo Airlines","Lockheed L-100-30 Hercules",1
"1904","Helaire Helicopter","Bell 47J-2",1
"1905","Heli-USA Airways","Aerospatiale AS350BA Rotocraft",1
"1906","Heli-USA Airways, In- Air Taxi","Aerospatiale AS-350BA",1
"1907","Heliandes","Let 410UVP-E",1
"1908","Helicol Colombia","de Havilland Canada DHC-6 Twin Otter 300",1
"1909","Helicopter - Air Taxi","Sikorsky S-62A",1
"1910","Helicopteros Nacionales de Colombia","Grumman G-159 Gulfstream I",1
"1911","Helicsa","Sikorsky S-58ET (helilcopter)",1
"1912","Helikopter Service","Sikorsky S-61N",1
"1913","Helios Airways","Boeing 737-31S",1
"1914","Helisul Taxi Aéreo","Embraer EMB-110 Bandeirante",1
"1915","Heliwork WA Pty Ltd. - Air Taxi","Robertson R44 helicopter",1
"1916","Henry Nichols - Air Taxi","Cessna 337D",1
"1917","Henry Webber Air - Air Taxi","Aerostar 601P",1
"1918","Heringer Air Taxi","Mitsubishi MU 2B 35",1
"1919","Hesler Noble - Air Taxi","Cessna 310I",1
"1920","Hewa Bora Airways","McDonnell Douglas DC-9-51",1
"1921","Hibiscus Air","GAF Nomad N-22",1
"1922","Himmelsschreiber","de Havilland DHC-2 Beaver",1
"1923","HiTech Helicopters","Cessna 501 Citation",1
"1924","Hlavka Aviation - Air Taxi","Beechcraft 95-B55",1
"1925","Holdens Air Transport Service","De Havilland DH-61",1
"1926","Holmstoem Air","Beechcraft 99",1
"1927","Holyman Airways","De Havilland DH-60",1
"1928","Holyman Airways","de Havilland DH-86",2
"1929","Homer Air Service - Air Taxi","Piper PA-18",1
"1930","Horizon Properties","Douglas DC-3C",1
"1931","Hornbill Airways","Shorts SC-7 Skyvan 3-100",1
"1932","Hoseba","Ilyushin 76MD",1
"1933","Houston-Beech - Air Taxi","Cessna 411",1
"1934","Houston Metro Airlines","Beechcraft 99",1
"1935","Hudgin Air Service","Piper PA-32",1
"1936","Hudson Air Service - Air Taxi","Cessna 185",1
"1937","Hughes Airwest  / Military - US Marine Air Corps","McDonnell Douglas DC-9-31 / F4-B",1
"1938","Hunter Airways","Travel Air 6000",1
"1939","Hunting Air Travel","Vickers 614 Viking 1",1
"1940","Hunting Air Travel","Vickers 639 Viking 1",1
"1941","Huron Air","de Havilland DHC-3 Otter",1
"1942","Hyannis Air Service - Air Taxi","Cessna 402C",1
"1943","IAI 1124 Westwind","Pel Air",1
"1944","IAS Cargo","Boeing 707-321C",1
"1945","Iberia Airlines","Boeing B-727-256",1
"1946","Iberia Airlines","Convair CV-440-62",1
"1947","Iberia Airlines","Convair CV-440 -62",1
"1948","Iberia Airlines","Douglas DC-3",3
"1949","Iberia Airlines","Douglas DC-3 (C-47-DL)",1
"1950","Iberia Airlines","Junkers JU-52",1
"1951","Iberia Airlines","Lockheed 1049G-55 Super Constellation",1
"1952","Iberia Airlines","Rohrbach Roland",1
"1953","Iberia Airlines","Sud-Aviation Caravelle VI-R",1
"1954","Iberia Airlines","Sud Aviation Caravelle 10R",1
"1955","Iberia Airlines / Aviaco","Boeing B-727-200 / DC9-32",1
"1956","Ibertrans Aérea","Embraer EMB-120 Brasilia",1
"1957","Icelandair","Douglas DC-3",1
"1958","Icelandair","Fokker F-27 Friendship 300",1
"1959","Icelandair","Vickers Viscount 759D",1
"1960","Imperial Airways","Armstrong-Withworth Atlanta",1
"1961","Imperial Airways","Armstrong Whitworth Argosy II",1
"1962","Imperial Airways","Avro 10",1
"1963","Imperial Airways","Boulton and Paul P-71",1
"1964","Imperial Airways","de Havilland DH-34B",1
"1965","Imperial Airways","de Havilland DH-66 Hercules",1
"1966","Imperial Airways","Handley Page HP-42",1
"1967","Imperial Airways","Handley Page W-10",2
"1968","Imperial Airways","Handley Page W-8",1
"1969","Imperial Airways","Lockheed 14 Super Electra",1
"1970","Imperial Airways","Lockheed C-69 Constellation",1
"1971","Imperial Airways","Short  S-23 (flying boat)",1
"1972","Imperial Airways","Short Calcutta",2
"1973","Imperial Airways","Short Empire Flying Boat",4
"1974","Imperial Airways","Short Kent",1
"1975","Imperial Airways","Short S-23 (flying boat)",1
"1976","Imperial Airways","Vickers 74 Vulcan",1
"1977","Imperial Comm - Air Taxi","Beechcraft E18S",1
"1978","IMSS","Embraer 110P1 Bandeirante",1
"1979","Inair Panama","Douglas DC-3",1
"1980","Indamer","Douglas C-47A",1
"1981","Indamer","Douglas C-47B",1
"1982","Indamer","Douglas DC-3",1
"1983","Independent Air Inc.","Boeing B-707-331B",1
"1984","Independent Air Travel","Vickers 621 Viking 1",1
"1985","Indian Airlines","Airbus A300B2-101",1
"1986","Indian Airlines","Airbus A320-231",1
"1987","Indian Airlines","Boeing B-737-2A8",5
"1988","Indian Airlines","Douglas C-47",1
"1989","Indian Airlines","Douglas C-47A",6
"1990","Indian Airlines","Douglas DC-3",9
"1991","Indian Airlines","Fokker F-27 Friendship 100",2
"1992","Indian Airlines","Fokker F-27 Friendship 200",1
"1993","Indian Airlines","Fokker F-27 Friendship 400",1
"1994","Indian Airlines","HAL-748-224",1
"1995","Indian Airlines","HAL-748-224 Srs.2",1
"1996","Indian Airlines","Hindustan Aeronautics 748 2-224",1
"1997","Indian Airlines","Sud-Aviation Caravelle VI-N",1
"1998","Indian Airlines","Sud Aviation SE-210 Caravelle",1
"1999","Indian Airlines","Sud Aviation SE-210 Caravelle VIN",1
"2000","Indian Airlines","Vickers Viscount 768D",1
"2001","Indian Airlines/Alliance Airlines","Boeing B-737-2A8 Advanced",1
"2002","Indian National Airlines","Douglas DC-3",1
"2003","Indian National Airlines","Vickers 604 Viking 1B",1
"2004","Indian National Airways","De Havilland D-84",1
"2005","Indonesian National Police","CASA 212 Aviocar",1
"2006","Inex Adria Aviopromet","McDonnell Douglas DC-9-32",1
"2007","Inex Adria Aviopromet (Yugoslavia)","McDonnell Douglas MD-81",1
"2008","Inex Adria Aviopromet / British Airways","McDonnell Douglas DC-9-31 / Trident 3B",1
"2009","Inland Aviation - Air Taxi","Cessna 172L",1
"2010","Inter-Island","MDonnell Douglas 369FF Rotocraft",1
"2011","Inter City Flug","MBB HFB-320 Hansa Jet",1
"2012","Inter Island Air - Air Taxi","Cessnea 172",1
"2013","Inter Island Air Services","Britten-Norman BN-2A Islander",1
"2014","Interamericana de Aviacion","Consolidated PBY-5 Catalina",1
"2015","Intercontinental de Aviacion","McDonnell Douglas DC-9-14",1
"2016","Interflug","Ilyushin IL-18D",1
"2017","Interflug","Ilyushin IL-62",1
"2018","Interflug","Ilyushin IL-62MK",1
"2019","Interflug","Tupolev TU-134",1
"2020","Interior Airways","Lockheed L-100 Hercules",1
"2021","Interior Airways - Air Taxi","Grumman G-44A",1
"2022","International Air Freight","Douglas DC-3",1
"2023","International Control Commision","Boeing 307 Stratoliner B-1",1
"2024","International Jet Charter","Learjet 35A",1
"2025","Interocean","Lockheed L-749A-79 Constellation",1
"2026","Interstate Airlines","Fairchild FC-2",1
"2027","Intracostals - Air Taxi","Cessna 185",1
"2028","Inuvik Coastal Airways","de Havilland Canada DHC-6 Twin Otter 200",1
"2029","Invicta International Airlines (UK)","Vickers Vanguard 952",1
"2030","Iran Air","Airbus A300B2-203",1
"2031","Iran Air","Boeing 727-286",1
"2032","Iran Air","Boeing 737-286",1
"2033","Iran Air","Douglas DC-3",3
"2034","Iran Air Tours","Tupolev TU-154",1
"2035","Iran Air Tours","Tupolev Tu-154M",1
"2036","Iran Air Tours  /  Military - Iranian Air Force","Tupolev TU-154M / Sukhoi Su-24",1
"2037","Iran Asseman Airlines","Fokker F-28 Fellowship 1000",1
"2038","Iran National Airlines","Boeing B-727-86",1
"2039","Iraqi Airways","Boeing B-737-270C",1
"2040","Iraqi Airways","Ilyushin IL-76",1
"2041","Island Air","Beechcraft H18S",1
"2042","Island Air","Cessna 337F",1
"2043","Island Airways","Britten Norman BN-2A-21 Trislander",1
"2044","Island Airways","Shorts SC-7 Skyvan 3-200",1
"2045","Island Airways Ltd.","Britten-Norman BN-2A-26 Islander",1
"2046","Island Express Helicopter Service","Eurocopter AS350D Astar",1
"2047","Island Sky Ferry - Air Taxi","Cessna 172",1
"2048","Islands Nationair","Britten-Norman BN-2A Trislander",1
"2049","Islands of the Bahamas Inc","Curtiss C-46F",1
"2050","Itavia","de Havilland DH-114 Heron 2",1
"2051","Itavia","Douglas DC-3",1
"2052","Itavia","Fokker F-28 Fellowship 1000",1
"2053","Itavia","McDonnell Douglas DC-9-15",1
"2054","Itek Air","Boeing B-737-219",1
"2055","Ivolga Avia","Cessna 208B Grand Caravan I",1
"2056","Jack Harter Helicopters","Bell 206B",1
